Transaction Date,Post Date,Description,Category,Type,Amount,Memo
01/01/2025,01/02/2025,Hulu,Entertainment,Sale,300.9,
01/01/2025,01/01/2025,Peloton,Fitness,Sale,104.38,
01/01/2025,01/01/2025,Electric Company,Utilities,Sale,176.5,
01/01/2025,01/02/2025,Best Buy,Electronics,Sale,210.3,
01/01/2025,01/01/2025,FedEx Office,Office Supplies,Sale,281.67,
01/02/2025,01/03/2025,Microsoft Store,Electronics,Sale,196.14,
01/02/2025,01/03/2025,Dunkin Donuts,Restaurants,Sale,163.85,
01/03/2025,01/04/2025,RETURN - Airbnb,Travel,Return,-18.59,
01/04/2025,01/05/2025,Hulu,Entertainment,Sale,76.01,
01/05/2025,01/07/2025,Ace Hardware,Home Improvement,Sale,22.52,
01/05/2025,01/07/2025,Walgreens,Pharmacy,Sale,108.71,
01/05/2025,01/07/2025,Walmart,Shopping,Sale,99.87,
01/06/2025,01/06/2025,Macy's,Shopping,Sale,199.97,
01/06/2025,01/06/2025,IKEA,Home Improvement,Sale,83.53,
01/06/2025,01/06/2025,Apple Store,Electronics,Sale,113.33,
01/08/2025,01/08/2025,Peloton,Fitness,Sale,77.4,
01/08/2025,01/08/2025,Airbnb,Travel,Sale,118.77,
01/08/2025,01/10/2025,Office Depot,Office Supplies,Sale,18.29,
01/09/2025,01/09/2025,Grubhub,Food Delivery,Sale,12.57,
01/09/2025,01/10/2025,Shell Gas Station,Gas,Sale,30.9,
01/09/2025,01/09/2025,Lyft,Transportation,Sale,189.05,
01/09/2025,01/09/2025,Marriott Hotel,Travel,Sale,162.5,
01/10/2025,01/12/2025,RETURN - TJ Maxx,Shopping,Return,-65.04,
01/10/2025,01/10/2025,Staples,Office Supplies,Sale,5.08,
01/10/2025,01/11/2025,Petco,Pet Care,Sale,23.29,
01/11/2025,01/12/2025,ONLINE PAYMENT - THANK YOU,Payments,Payment,-382.47,
01/11/2025,01/12/2025,RETURN - Lowe's,Home Improvement,Return,-62.89,
01/11/2025,01/11/2025,McDonald's,Restaurants,Sale,141.03,
01/11/2025,01/11/2025,Lyft,Transportation,Sale,256.96,
01/12/2025,01/13/2025,Home Depot,Home Improvement,Sale,213.53,
01/12/2025,01/14/2025,Microsoft Store,Electronics,Sale,143.86,
01/13/2025,01/13/2025,Uber Eats,Food Delivery,Sale,259.84,
01/13/2025,01/14/2025,Uber Eats,Food Delivery,Sale,258.26,
01/14/2025,01/14/2025,United Airlines,Travel,Sale,169.3,
01/14/2025,01/15/2025,Best Buy,Electronics,Sale,87.82,
01/14/2025,01/14/2025,AMC Theatres,Entertainment,Sale,165.47,
01/14/2025,01/14/2025,BILLING CORRECTION,Adjustments,Credit,-50.4,
01/14/2025,01/16/2025,DISPUTE RESOLUTION CREDIT,Adjustments,Credit,-158.11,
01/15/2025,01/17/2025,CVS Pharmacy,Pharmacy,Sale,287.7,
01/15/2025,01/15/2025,Rite Aid,Pharmacy,Sale,268.56,
01/16/2025,01/17/2025,Metro Transit,Transportation,Sale,203.56,
01/16/2025,01/16/2025,ACCOUNT ADJUSTMENT,Adjustments,Credit,-114.01,
01/18/2025,01/19/2025,Lyft,Transportation,Sale,112.43,
01/18/2025,01/19/2025,DoorDash,Food Delivery,Sale,262.2,
01/18/2025,01/19/2025,Uber,Transportation,Sale,8.57,
01/19/2025,01/21/2025,Marriott Hotel,Travel,Sale,279.82,
01/20/2025,01/20/2025,Water Utility,Utilities,Sale,36.24,
01/20/2025,01/22/2025,LA Fitness,Fitness,Sale,191.94,
01/20/2025,01/21/2025,Ace Hardware,Home Improvement,Sale,280.11,
01/21/2025,01/22/2025,Trader Joe's,Groceries,Sale,53.85,
01/22/2025,01/23/2025,Internet Service,Utilities,Sale,290.04,
01/23/2025,01/25/2025,Disney+,Entertainment,Sale,294.78,
01/23/2025,01/25/2025,DoorDash,Food Delivery,Sale,115.42,
01/24/2025,01/25/2025,PetSmart,Pet Care,Sale,79.06,
01/25/2025,01/27/2025,LA Fitness,Fitness,Sale,215.18,
01/25/2025,01/27/2025,ONLINE PAYMENT - THANK YOU,Payments,Payment,-1219.71,
01/25/2025,01/27/2025,Peloton,Fitness,Sale,136.21,
01/26/2025,01/28/2025,Lowe's,Home Improvement,Sale,279.7,
01/26/2025,01/26/2025,Netflix,Entertainment,Sale,207.66,
01/27/2025,01/27/2025,Nordstrom,Shopping,Sale,45.6,
01/29/2025,01/30/2025,PROMOTIONAL CREDIT,Adjustments,Credit,-33.2,
01/30/2025,01/31/2025,Whole Foods,Groceries,Sale,162.43,
01/31/2025,02/01/2025,Target,Groceries,Sale,220.84,
01/31/2025,02/01/2025,Macy's,Shopping,Sale,139.08,
01/31/2025,02/01/2025,RETURN - Chipotle,Restaurants,Return,-60.66,
01/31/2025,02/01/2025,Internet Service,Utilities,Sale,104.51,
01/31/2025,02/01/2025,GameStop,Electronics,Sale,158.53,
02/01/2025,02/01/2025,Postmates,Food Delivery,Sale,277.98,
